epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8009,1.7357,1.0642,0.98339,0.9178,0.82864,0.9807,0.69101,1.30393,0.67569,0.78523,0.000198773,0.000198773,0.0803215
2,47.1302,1.31662,0.40752,0.9163,0.93691,0.95362,0.995,0.6996,1.32052,0.59987,0.82824,0.000394805,0.000394805,0.0605175
3,68.8913,1.16718,0.33121,0.89553,0.99523,1,0.995,0.78015,0.93744,0.25638,0.76413,0.000586857,0.000586857,0.0407096
4,90.0765,1.07517,0.29183,0.88179,0.99775,0.99808,0.995,0.801,0.91602,0.27678,0.75441,0.00077493,0.00077493,0.0208976
5,111.592,1.05908,0.28998,0.87638,0.99875,1,0.995,0.79955,0.88842,0.25668,0.76665,0.000959022,0.000959022,0.00108172
6,133.152,1.00328,0.26567,0.86519,0.99839,1,0.995,0.81525,0.7954,0.2197,0.74323,0.00095025,0.00095025,0.00095025
7,154.818,0.99099,0.25797,0.86707,0.9989,1,0.995,0.82486,0.8339,0.22045,0.74984,0.0009403,0.0009403,0.0009403
8,176.408,0.96643,0.25283,0.85652,0.99862,1,0.995,0.78014,0.96831,0.22401,0.74865,0.00093035,0.00093035,0.00093035
9,197.896,0.92539,0.24432,0.85473,0.99806,1,0.995,0.75297,1.11778,0.35107,0.77413,0.0009204,0.0009204,0.0009204
10,219.482,0.91781,0.24034,0.84924,0.99878,1,0.995,0.8366,0.82184,0.1973,0.75098,0.00091045,0.00091045,0.00091045
11,240.886,0.88011,0.22706,0.84414,0.99917,1,0.995,0.8424,0.78153,0.19451,0.74503,0.0009005,0.0009005,0.0009005
12,262.452,0.85244,0.22428,0.84138,0.99874,1,0.995,0.8542,0.73394,0.1903,0.73778,0.00089055,0.00089055,0.00089055
13,283.97,0.8647,0.22231,0.84067,0.99892,1,0.995,0.85349,0.75651,0.17766,0.73837,0.0008806,0.0008806,0.0008806
14,305.422,0.86235,0.22299,0.84243,0.99937,1,0.995,0.78128,0.97484,0.21537,0.76341,0.00087065,0.00087065,0.00087065
15,326.874,0.84723,0.21554,0.84171,0.99884,1,0.995,0.85037,0.72892,0.17863,0.73655,0.0008607,0.0008607,0.0008607
16,348.322,0.81717,0.21374,0.83701,0.99909,1,0.995,0.86385,0.70796,0.17656,0.73054,0.00085075,0.00085075,0.00085075
17,369.686,0.81204,0.2088,0.83615,0.99911,1,0.995,0.8391,0.74843,0.17771,0.73366,0.0008408,0.0008408,0.0008408
18,390.887,0.82261,0.20851,0.83229,0.99925,1,0.995,0.85831,0.72625,0.16782,0.74104,0.00083085,0.00083085,0.00083085
19,412.092,0.78602,0.20213,0.83066,0.99956,1,0.995,0.84108,0.77877,0.1756,0.73337,0.0008209,0.0008209,0.0008209
20,433.655,0.78344,0.20386,0.82978,0.99848,1,0.995,0.85761,0.69888,0.20463,0.72868,0.00081095,0.00081095,0.00081095
21,455.409,0.78179,0.20169,0.83196,0.99935,1,0.995,0.87442,0.66025,0.15638,0.72162,0.000801,0.000801,0.000801
22,476.922,0.76559,0.19611,0.82645,0.99899,1,0.995,0.82839,0.83204,0.17435,0.73915,0.00079105,0.00079105,0.00079105
23,498.19,0.75645,0.19487,0.82503,0.99904,1,0.995,0.87324,0.66878,0.15455,0.72639,0.0007811,0.0007811,0.0007811
24,519.622,0.74742,0.19079,0.82449,0.99905,1,0.995,0.87925,0.63909,0.15118,0.72637,0.00077115,0.00077115,0.00077115
25,541.015,0.75932,0.19301,0.82909,0.99926,1,0.995,0.84753,0.73533,0.15322,0.73792,0.0007612,0.0007612,0.0007612
26,562.399,0.75249,0.19053,0.82502,0.9992,1,0.995,0.85889,0.71343,0.16975,0.72254,0.00075125,0.00075125,0.00075125
27,583.692,0.73125,0.1875,0.82138,0.999,1,0.995,0.85631,0.72741,0.15704,0.72863,0.0007413,0.0007413,0.0007413
28,605.124,0.72759,0.18694,0.82556,0.99935,1,0.995,0.88097,0.64218,0.15907,0.7246,0.00073135,0.00073135,0.00073135
29,626.577,0.71683,0.18324,0.82043,0.99934,1,0.995,0.86963,0.67715,0.14893,0.72993,0.0007214,0.0007214,0.0007214
30,647.682,0.71956,0.18185,0.82093,0.99874,1,0.995,0.87175,0.64893,0.15024,0.72273,0.00071145,0.00071145,0.00071145
31,668.857,0.71264,0.18259,0.82149,0.99934,1,0.995,0.88664,0.58807,0.13609,0.71853,0.0007015,0.0007015,0.0007015
32,690.179,0.72331,0.18331,0.8255,0.9992,1,0.995,0.89594,0.53344,0.13243,0.71481,0.00069155,0.00069155,0.00069155
33,711.579,0.70294,0.1767,0.82253,0.9991,1,0.995,0.87709,0.59686,0.14448,0.72318,0.0006816,0.0006816,0.0006816
34,732.815,0.69504,0.17461,0.82097,0.999,1,0.995,0.88748,0.58905,0.13484,0.71633,0.00067165,0.00067165,0.00067165
35,754.414,0.69357,0.17608,0.81949,0.99908,1,0.995,0.86989,0.64509,0.14536,0.72317,0.0006617,0.0006617,0.0006617
36,775.551,0.69535,0.17573,0.81772,0.99912,1,0.995,0.91032,0.51556,0.12877,0.71217,0.00065175,0.00065175,0.00065175
37,797.001,0.69759,0.17608,0.82101,0.99909,1,0.995,0.90583,0.53271,0.15033,0.71153,0.0006418,0.0006418,0.0006418
38,818.218,0.6841,0.17307,0.82025,0.99913,1,0.995,0.89316,0.57965,0.13097,0.71651,0.00063185,0.00063185,0.00063185
39,839.474,0.67699,0.17226,0.81862,0.99946,1,0.995,0.90919,0.492,0.12506,0.70844,0.0006219,0.0006219,0.0006219
40,861.048,0.67345,0.17084,0.81791,0.99926,1,0.995,0.91166,0.50441,0.12684,0.70842,0.00061195,0.00061195,0.00061195
41,882.401,0.65722,0.16605,0.81588,0.9991,1,0.995,0.91219,0.5018,0.12379,0.71189,0.000602,0.000602,0.000602
42,903.635,0.66905,0.16782,0.81951,0.99891,1,0.995,0.90385,0.51565,0.1252,0.71061,0.00059205,0.00059205,0.00059205
43,924.792,0.67265,0.16861,0.817,0.99907,1,0.995,0.92027,0.48138,0.11889,0.70672,0.0005821,0.0005821,0.0005821
44,946.139,0.65778,0.1655,0.8175,0.99924,1,0.995,0.90711,0.47226,0.11293,0.70431,0.00057215,0.00057215,0.00057215
45,967.367,0.64355,0.16247,0.81187,0.99928,1,0.995,0.90722,0.51913,0.12227,0.70793,0.0005622,0.0005622,0.0005622
46,988.681,0.65361,0.16392,0.81164,0.99927,1,0.995,0.92438,0.45177,0.11632,0.70641,0.00055225,0.00055225,0.00055225
47,1010.04,0.65241,0.16364,0.81954,0.99929,1,0.995,0.91889,0.46333,0.11816,0.70541,0.0005423,0.0005423,0.0005423
48,1031.44,0.63957,0.16266,0.81201,0.99903,1,0.995,0.92111,0.44842,0.11509,0.70625,0.00053235,0.00053235,0.00053235
49,1052.96,0.62811,0.159,0.81452,0.99927,1,0.995,0.90619,0.4897,0.12019,0.70766,0.0005224,0.0005224,0.0005224
50,1075.82,0.64615,0.1625,0.81396,0.99915,1,0.995,0.93712,0.42119,0.11012,0.70319,0.00051245,0.00051245,0.00051245
51,1098.06,0.63263,0.15835,0.8118,0.99907,1,0.995,0.91486,0.4839,0.11279,0.70672,0.0005025,0.0005025,0.0005025
52,1119.56,0.62992,0.16016,0.8127,0.99933,1,0.995,0.92517,0.45527,0.11327,0.70384,0.00049255,0.00049255,0.00049255
53,1141.41,0.62222,0.15681,0.81278,0.99923,1,0.995,0.91375,0.45508,0.11039,0.70308,0.0004826,0.0004826,0.0004826
54,1163.23,0.61656,0.15526,0.80978,0.99868,1,0.995,0.92297,0.44956,0.11308,0.7048,0.00047265,0.00047265,0.00047265
55,1184.81,0.61146,0.15481,0.81038,0.9993,1,0.995,0.92638,0.44031,0.10872,0.70257,0.0004627,0.0004627,0.0004627
56,1205.92,0.62219,0.15749,0.80985,0.99903,1,0.995,0.9277,0.41293,0.11329,0.70152,0.00045275,0.00045275,0.00045275
57,1227.55,0.60222,0.15235,0.80854,0.99908,1,0.995,0.92327,0.44704,0.11388,0.70212,0.0004428,0.0004428,0.0004428
58,1248.66,0.60245,0.15323,0.80757,0.99919,1,0.995,0.93641,0.41862,0.1029,0.70074,0.00043285,0.00043285,0.00043285
59,1269.69,0.61209,0.1526,0.80862,0.99939,1,0.995,0.93689,0.41559,0.10262,0.70182,0.0004229,0.0004229,0.0004229
60,1290.74,0.60078,0.15205,0.80958,0.99924,1,0.995,0.94478,0.38248,0.10387,0.70027,0.00041295,0.00041295,0.00041295
