epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.1,0.88557,0.41872,0.84327,0.99978,0.99721,0.99412,0.8573,0.735,0.20995,0.75624,0.000199877,0.000199877,0.0802122
2,474.284,0.71575,0.22894,0.82507,0.99987,1,0.995,0.89605,0.63537,0.17054,0.74969,0.000395898,0.000395898,0.0604082
3,708.285,0.64437,0.19853,0.81722,0.99996,1,0.995,0.94978,0.38491,0.12812,0.73844,0.000587939,0.000587939,0.0406002
4,938.399,0.59844,0.18186,0.81167,0.99995,1,0.995,0.95258,0.37778,0.11394,0.73762,0.000776001,0.000776001,0.0207883
5,1168.53,0.58486,0.17791,0.81134,0.99996,1,0.995,0.95374,0.38126,0.10651,0.741,0.000960082,0.000960082,0.00097239
6,1397.97,0.56228,0.16945,0.8089,0.99996,1,0.995,0.95186,0.39974,0.10641,0.7391,0.00095025,0.00095025,0.00095025
7,1626.57,0.53348,0.16003,0.80605,0.99997,1,0.995,0.9661,0.33339,0.09777,0.73655,0.0009403,0.0009403,0.0009403
8,1854.85,0.5089,0.15276,0.80399,0.99998,1,0.995,0.96914,0.30244,0.08376,0.73527,0.00093035,0.00093035,0.00093035
9,2084.01,0.4916,0.14768,0.80149,1,1,0.995,0.96968,0.30188,0.08334,0.73515,0.0009204,0.0009204,0.0009204
10,2309.06,0.47414,0.1418,0.79917,0.99999,1,0.995,0.97093,0.28417,0.08033,0.73571,0.00091045,0.00091045,0.00091045
11,2537.38,0.45929,0.13822,0.79799,0.99998,1,0.995,0.97263,0.2745,0.0783,0.73484,0.0009005,0.0009005,0.0009005
12,2767.79,0.45023,0.13511,0.79698,0.99999,1,0.995,0.97286,0.27821,0.07464,0.73463,0.00089055,0.00089055,0.00089055
13,2997.08,0.43971,0.13234,0.796,0.99998,1,0.995,0.97546,0.25292,0.07259,0.73403,0.0008806,0.0008806,0.0008806
14,3226.2,0.42888,0.12929,0.79537,0.99997,1,0.995,0.97543,0.26858,0.08171,0.73431,0.00087065,0.00087065,0.00087065
15,3456.32,0.42048,0.12686,0.79474,0.99997,1,0.995,0.97657,0.26065,0.08473,0.73402,0.0008607,0.0008607,0.0008607
16,3686.35,0.41088,0.1241,0.7943,0.99997,1,0.995,0.97601,0.26177,0.08183,0.73413,0.00085075,0.00085075,0.00085075
17,3915.26,0.40761,0.123,0.79303,0.99998,1,0.995,0.97514,0.25991,0.0744,0.7338,0.0008408,0.0008408,0.0008408
18,4143.28,0.40111,0.12106,0.79311,0.99998,1,0.995,0.9762,0.25446,0.06889,0.73339,0.00083085,0.00083085,0.00083085
19,4373.13,0.39437,0.1189,0.79248,0.99998,1,0.995,0.97649,0.25466,0.0683,0.73336,0.0008209,0.0008209,0.0008209
20,4603.58,0.38834,0.11808,0.79238,0.99998,1,0.995,0.97659,0.25433,0.06669,0.73329,0.00081095,0.00081095,0.00081095
