epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1862,1.89096,1.28233,0.97367,0.80473,0.49257,0.74627,0.41153,1.8725,1.12476,0.92505,0.000198773,0.000198773,0.0803215
2,80.4871,1.57779,0.55198,0.91294,0.75333,0.95399,0.95105,0.66124,1.38187,0.4534,0.82257,0.000394805,0.000394805,0.0605175
3,109.65,1.49225,0.4106,0.90125,0.90789,0.94499,0.98564,0.70396,1.29856,0.26793,0.84027,0.000586857,0.000586857,0.0407096
4,137.789,1.35934,0.32962,0.88395,0.97501,0.88714,0.98476,0.75072,1.13569,0.23361,0.7921,0.00077493,0.00077493,0.0208976
5,166.362,1.37459,0.31577,0.88149,0.87042,0.8784,0.96758,0.74257,1.03091,0.3002,0.77825,0.000959022,0.000959022,0.00108172
6,194.659,1.30695,0.28816,0.87425,0.92268,0.96886,0.99269,0.82163,0.82377,0.17977,0.74928,0.00095025,0.00095025,0.00095025
7,222.789,1.26782,0.26144,0.87061,0.9534,0.95094,0.99362,0.737,1.18683,0.20172,0.78293,0.0009403,0.0009403,0.0009403
8,250.817,1.26587,0.25136,0.86443,0.97359,0.98336,0.99492,0.78546,0.96589,0.15308,0.76597,0.00093035,0.00093035,0.00093035
9,279.08,1.20544,0.2342,0.86138,0.97929,0.9638,0.99342,0.8047,0.90045,0.13997,0.76064,0.0009204,0.0009204,0.0009204
10,307.208,1.18424,0.23386,0.85658,0.95584,0.99608,0.98398,0.79921,0.87947,0.14959,0.75103,0.00091045,0.00091045,0.00091045
11,335.728,1.14863,0.21414,0.85118,0.98916,0.97522,0.99475,0.80509,0.94334,0.14478,0.75548,0.0009005,0.0009005,0.0009005
12,363.759,1.11453,0.21111,0.84984,0.97434,0.96658,0.99451,0.84783,0.74497,0.15363,0.7371,0.00089055,0.00089055,0.00089055
13,392.08,1.10935,0.2062,0.84714,0.98173,0.99357,0.99429,0.83431,0.8017,0.12777,0.73789,0.0008806,0.0008806,0.0008806
14,420.291,1.0918,0.20286,0.84565,0.99863,0.9772,0.98944,0.82312,0.89617,1.47543,0.7497,0.00087065,0.00087065,0.00087065
15,448.44,1.07651,0.20123,0.84727,0.94415,0.98032,0.99021,0.8279,0.80894,0.36423,0.74823,0.0008607,0.0008607,0.0008607
16,476.846,1.06042,0.19605,0.84315,0.98653,0.99061,0.9941,0.83262,0.79843,0.12501,0.74791,0.00085075,0.00085075,0.00085075
17,505.032,1.03669,0.18595,0.83868,0.96884,0.96882,0.99443,0.84858,0.77069,0.13456,0.74477,0.0008408,0.0008408,0.0008408
18,533.069,1.04768,0.1857,0.83843,0.9879,0.97087,0.99495,0.84274,0.7754,0.12604,0.74305,0.00083085,0.00083085,0.00083085
19,561.381,1.00341,0.18037,0.83542,0.99682,0.9953,0.99486,0.81869,0.90657,0.11838,0.7505,0.0008209,0.0008209,0.0008209
20,589.495,1.01788,0.1765,0.83394,0.98758,0.97884,0.99468,0.84064,0.78026,0.12252,0.73981,0.00081095,0.00081095,0.00081095
21,617.546,0.99195,0.17413,0.83506,0.99842,0.99798,0.995,0.86444,0.66268,0.09154,0.73176,0.000801,0.000801,0.000801
22,645.911,0.97859,0.17028,0.83062,0.99606,0.99707,0.99498,0.85652,0.72658,0.09637,0.73877,0.00079105,0.00079105,0.00079105
23,674.42,0.94863,0.16818,0.82557,0.9637,0.99217,0.99417,0.84435,0.77398,0.11637,0.73852,0.0007811,0.0007811,0.0007811
24,703.075,0.93942,0.16634,0.82771,0.97856,0.97974,0.99496,0.8705,0.67034,0.11396,0.73258,0.00077115,0.00077115,0.00077115
25,731.125,0.95387,0.16606,0.83057,0.99345,0.9988,0.99473,0.86164,0.67079,0.09657,0.73008,0.0007612,0.0007612,0.0007612
26,759.293,0.94928,0.16607,0.82984,0.97177,0.99125,0.99488,0.88407,0.63928,0.10029,0.73117,0.00075125,0.00075125,0.00075125
27,787.704,0.93377,0.16537,0.82583,0.99492,0.97248,0.99405,0.85616,0.74772,0.30305,0.73953,0.0007413,0.0007413,0.0007413
28,815.827,0.93541,0.15669,0.8274,0.98735,0.98622,0.99478,0.86079,0.74606,0.09931,0.73858,0.00073135,0.00073135,0.00073135
29,843.675,0.9053,0.15903,0.8238,0.99758,0.99962,0.995,0.85605,0.71388,0.0878,0.73617,0.0007214,0.0007214,0.0007214
30,873.209,0.90758,0.15165,0.82374,0.99139,0.98647,0.99386,0.87465,0.65831,0.10483,0.73584,0.00071145,0.00071145,0.00071145
31,901.568,0.91545,0.15554,0.82487,0.99915,0.99313,0.995,0.84526,0.76635,0.09475,0.73745,0.0007015,0.0007015,0.0007015
32,929.956,0.90248,0.15315,0.8258,0.99604,0.99793,0.995,0.8692,0.68376,0.08742,0.72782,0.00069155,0.00069155,0.00069155
